time,temperature,humidity
2024-09-21T00:00,14.1,73
2024-09-21T01:00,14.0,71
2024-09-21T02:00,13.8,70
2024-09-21T03:00,13.4,70
2024-09-21T04:00,13.4,70
2024-09-21T05:00,14.0,74
2024-09-21T06:00,15.0,71
2024-09-21T07:00,16.2,63
2024-09-21T08:00,17.6,61
2024-09-21T09:00,19.0,49
2024-09-21T10:00,20.1,47
2024-09-21T11:00,20.8,47
2024-09-21T12:00,21.3,46
2024-09-21T13:00,21.5,47
2024-09-21T14:00,21.5,48
2024-09-21T15:00,21.2,49
2024-09-21T16:00,20.6,52
2024-09-21T17:00,19.3,60
2024-09-21T18:00,18.5,65
2024-09-21T19:00,17.9,65
2024-09-21T20:00,17.4,66
2024-09-21T21:00,16.7,68
2024-09-21T22:00,16.3,69
2024-09-21T23:00,15.8,70
2024-09-22T00:00,14.9,72
2024-09-22T01:00,14.3,75
2024-09-22T02:00,13.9,77
2024-09-22T03:00,14.2,80
2024-09-22T04:00,14.0,79
2024-09-22T05:00,14.4,79
2024-09-22T06:00,14.4,78
2024-09-22T07:00,15.7,75
2024-09-22T08:00,17.4,71
2024-09-22T09:00,18.6,66
2024-09-22T10:00,19.5,63
2024-09-22T11:00,20.1,60
2024-09-22T12:00,20.3,59
2024-09-22T13:00,20.4,58
2024-09-22T14:00,20.3,58
2024-09-22T15:00,19.9,60
2024-09-22T16:00,19.2,64
2024-09-22T17:00,18.1,68
2024-09-22T18:00,17.4,70
2024-09-22T19:00,16.6,72
2024-09-22T20:00,16.0,74
2024-09-22T21:00,15.7,74
2024-09-22T22:00,15.8,71
2024-09-22T23:00,15.9,69
2024-09-23T00:00,15.4,69
2024-09-23T01:00,15.0,71
2024-09-23T02:00,14.9,71
2024-09-23T03:00,14.7,73
2024-09-23T04:00,14.7,73
2024-09-23T05:00,15.2,71
2024-09-23T06:00,16.3,67
2024-09-23T07:00,17.7,62
2024-09-23T08:00,19.0,58
2024-09-23T09:00,20.0,54
2024-09-23T10:00,21.1,49
2024-09-23T11:00,21.5,46
2024-09-23T12:00,21.9,44
2024-09-23T13:00,22.0,42
2024-09-23T14:00,21.9,44
2024-09-23T15:00,21.6,45
2024-09-23T16:00,20.6,49
2024-09-23T17:00,19.2,53
2024-09-23T18:00,18.4,55
2024-09-23T19:00,18.1,55
2024-09-23T20:00,17.8,58
2024-09-23T21:00,16.0,75
2024-09-23T22:00,15.9,75
2024-09-23T23:00,16.0,75
2024-09-24T00:00,15.9,76
2024-09-24T01:00,15.4,78
2024-09-24T02:00,14.8,81
2024-09-24T03:00,14.4,83
2024-09-24T04:00,14.5,83
2024-09-24T05:00,14.9,82
2024-09-24T06:00,15.8,80
2024-09-24T07:00,17.1,75
2024-09-24T08:00,18.9,69
2024-09-24T09:00,20.4,63
2024-09-24T10:00,21.4,58
2024-09-24T11:00,22.2,53
2024-09-24T12:00,22.6,49
2024-09-24T13:00,22.5,47
2024-09-24T14:00,22.0,47
2024-09-24T15:00,21.4,48
2024-09-24T16:00,20.5,50
2024-09-24T17:00,19.5,54
2024-09-24T18:00,18.6,57
2024-09-24T19:00,18.2,59
2024-09-24T20:00,18.1,61
2024-09-24T21:00,18.0,64
2024-09-24T22:00,17.5,68
2024-09-24T23:00,17.0,73
2024-09-25T00:00,16.6,77
2024-09-25T01:00,16.1,80
2024-09-25T02:00,15.8,83
2024-09-25T03:00,15.6,84
2024-09-25T04:00,15.7,83
2024-09-25T05:00,16.1,80
2024-09-25T06:00,16.4,78
2024-09-25T07:00,16.5,78
2024-09-25T08:00,16.5,78
2024-09-25T09:00,16.8,77
2024-09-25T10:00,17.6,73
2024-09-25T11:00,18.6,67
2024-09-25T12:00,19.4,62
2024-09-25T13:00,19.7,59
2024-09-25T14:00,19.6,56
2024-09-25T15:00,19.2,57
2024-09-25T16:00,18.0,62
2024-09-25T17:00,16.5,70
2024-09-25T18:00,15.1,77
2024-09-25T19:00,14.6,81
2024-09-25T20:00,14.2,83
2024-09-25T21:00,13.9,85
2024-09-25T22:00,13.6,88
2024-09-25T23:00,13.2,90
2024-09-26T00:00,12.9,92
2024-09-26T01:00,12.6,93
2024-09-26T02:00,12.4,94
2024-09-26T03:00,12.6,93
2024-09-26T04:00,13.0,91
2024-09-26T05:00,13.8,88
2024-09-26T06:00,14.8,84
2024-09-26T07:00,16.4,78
2024-09-26T08:00,18.3,71
2024-09-26T09:00,19.9,65
2024-09-26T10:00,21.0,60
2024-09-26T11:00,21.6,57
2024-09-26T12:00,22.0,54
2024-09-26T13:00,22.0,53
2024-09-26T14:00,21.5,53
2024-09-26T15:00,21.1,54
2024-09-26T16:00,20.7,56
2024-09-26T17:00,20.2,58
2024-09-26T18:00,19.7,62
2024-09-26T19:00,18.9,68
2024-09-26T20:00,17.9,74
2024-09-26T21:00,17.3,78
2024-09-26T22:00,17.3,77
2024-09-26T23:00,17.6,74
2024-09-27T00:00,17.8,71
2024-09-27T01:00,17.8,71
2024-09-27T02:00,17.7,71
2024-09-27T03:00,17.6,72
2024-09-27T04:00,17.6,73
2024-09-27T05:00,17.5,73
2024-09-27T06:00,17.5,75
2024-09-27T07:00,17.4,78
2024-09-27T08:00,17.1,81
2024-09-27T09:00,16.9,85
2024-09-27T10:00,16.7,89
2024-09-27T11:00,16.5,92
2024-09-27T12:00,16.3,95
2024-09-27T13:00,16.2,96
2024-09-27T14:00,16.1,96
2024-09-27T15:00,16.1,96
2024-09-27T16:00,16.0,96
2024-09-27T17:00,15.9,95
2024-09-27T18:00,15.8,95
2024-09-27T19:00,15.6,95
2024-09-27T20:00,15.2,96
2024-09-27T21:00,14.9,96
2024-09-27T22:00,14.6,96
2024-09-27T23:00,14.2,96
